City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Kutum,SD,14.2,24.6667,55.99,36,0,8.05,clear sky
274,Nicoya,CR,10.1483,-85.452,87.8,51,75,14.97,broken clouds
275,Eregli,TR,37.5133,34.0467,38.79,88,100,4.56,overcast clouds
276,Narsaq,GL,60.9167,-46.05,23.0,50,75,10.36,light snow
277,Saint-Pierre,RE,-21.3393,55.4781,78.8,89,75,4.61,broken clouds
278,Yangambi,CD,0.8102,24.4336,71.4,93,63,3.02,light rain
279,Bouna,CI,9.2667,-3.0,75.51,17,22,1.28,few clouds
280,Biak,ID,-0.9131,122.8766,77.05,80,100,3.89,light rain
281,Kenai,US,60.5544,-151.2583,33.01,74,75,8.05,broken clouds
282,Chunhuhub,MX,19.55,-88.6833,81.86,57,99,3.4,overcast clouds
283,Dunedin,NZ,-45.8742,170.5036,64.0,86,99,8.01,overcast clouds
284,Farafangana,MG,-22.8167,47.8333,79.12,87,66,6.78,broken clouds
285,Andrelandia,BR,-21.7397,-44.3092,71.29,88,21,4.7,heavy intensity rain
286,Natchez,US,31.5604,-91.4032,53.6,30,1,18.41,clear sky
287,Ayan,RU,56.45,138.1667,-15.05,78,1,5.14,clear sky
288,Kahului,US,20.8947,-156.47,84.2,54,20,8.05,few clouds
289,Meghraj,IN,23.5,73.5,66.54,37,0,8.41,clear sky
290,Tunduma,TZ,-9.3,32.7667,58.8,100,100,1.9,light rain
291,Santa Cruz Del Sur,CU,20.7147,-77.9956,80.46,73,14,12.57,few clouds
292,Yellowknife,CA,62.456,-114.3525,10.4,92,90,16.11,snow
293,Banjar,ID,-8.19,114.9675,78.8,89,40,8.05,scattered clouds
294,Victoria,HK,22.2855,114.1577,62.01,69,4,7.02,clear sky
295,Jabinyanah,TN,35.035,10.9081,53.6,58,0,3.44,clear sky
296,Grand Gaube,MU,-20.0064,57.6608,81.0,83,1,8.01,clear sky
297,Macomb,US,40.4592,-90.6718,34.0,93,90,4.61,light snow
298,Kedougou,SN,12.5579,-12.1743,77.34,16,40,3.49,scattered clouds
299,Vitim,RU,59.4511,112.5578,-27.04,82,100,5.5,overcast clouds
300,Ostrovnoy,RU,68.0531,39.5131,20.97,95,100,3.44,overcast clouds
301,Nanortalik,GL,60.1432,-45.2371,27.61,98,99,2.1,light snow
302,Koumac,NC,-20.5667,164.2833,82.35,79,100,3.0,overcast clouds
303,Caxito,AO,-8.5785,13.6643,78.8,78,0,6.91,clear sky
304,Namibe,AO,-15.1961,12.1522,74.55,67,0,8.32,clear sky
